ADDRESS,Data Split,ZIPCODE,PredictedPrice,PRICE
3773 Isle Royal Pl,Train,32712,437233.0,437635
5121 Blanket Flower St,Train,32712,413613.0,417000
601 Dominish Estates Dr,Train,32712,419696.0,419900
1556 Silver Fox Cir,Train,32712,453682.0,429120
6331 Lake Lerla Dr,Train,32712,320589.0,300000
6133 Elm Samaras Ln,Train,32712,469818.0,475000
1575 Belfast Ct,Train,32712,443718.0,461000
5506 Hayloft Dr,Train,32712,440695.0,448990
5306 Marshelder St,Train,32712,628324.0,650000
822 Swaying Palm Dr,Train,32712,573150.0,600000
1226 Deer Lake Cir,Train,32712,560116.0,578000
4800 Pierce Arrow Dr,Train,32712,392779.0,397500
3421 Fudge Rd,Train,32712,219011.0,171000
3308 Orange Rose Loop,Train,32712,462055.0,468190
3397 Orange Rose Loop,Train,32712,535832.0,540990
2073 Home Again Rd,Train,32712,450925.0,435000
225 Sutherland Ct,Train,32712,563302.0,560000
6340 Oren Ct,Train,32712,306258.0,280000
5536 Hayloft Dr,Train,32712,403409.0,396990
3652 Chandler Estates Dr,Train,32712,738320.0,800000
1463 Cedar Glen Dr,Train,32712,467669.0,482000
2747 Spicebush Loop,Train,32712,527149.0,510000
5863 Galloping Dr,Train,32712,396875.0,395990
2695 Hilltop Loop,Train,32712,609753.0,619500
2509 Dowman Dr,Train,32712,592477.0,640000
1536 Errol Pkwy,Train,32712,537108.0,512000
4117 Jespersen St,Train,32712,443467.0,451990
1270 Stoneywood Way,Train,32712,402579.0,419000
464 Whispering Oak Ln,Train,32712,499351.0,510000
5530 Galloping Dr,Train,32712,423682.0,415000
5816 Galloping Dr,Train,32712,438660.0,438990
1223 Honey Rd,Train,32712,379024.0,367000
390 Lisa Karen Cir,Train,32712,409964.0,420000
1161 Spinning Wheel Dr,Train,32712,559322.0,551000
907 Ridge Spring Ct,Train,32712,578608.0,593000
324 Morning Creek Cir,Train,32712,342286.0,349900
3922 Old Dunn Rd,Train,32712,479444.0,435000
5505 Hayloft Dr,Train,32712,441903.0,443320
2833 Hilltop Loop,Train,32712,408483.0,400000
445 Songbird Way,Train,32712,482422.0,501003
2778 Golden Barrel Ave,Train,32712,533118.0,558847
2603 Long Pine Ave,Train,32712,419235.0,414901
3446 Orange Rose Loop,Train,32712,454883.0,449190
763 Via Milano,Train,32712,389687.0,383000
842 Palm Oak Dr,Train,32712,608220.0,650000
607 Golden Dawn Ln,Train,32712,617125.0,655000
1701 Queen Palm Dr,Train,32712,474038.0,490000
1840 Cranberry Isles Way,Train,32712,392253.0,380000
281 Edisto Pl,Train,32712,361060.0,385000
1539 Solway Ct,Train,32712,507154.0,498500
4196 Winding Pines Dr,Train,32712,627519.0,667830
3050 Rolling Hills Ln,Train,32712,637184.0,660000
3975 Great Smokey Way,Train,32712,470575.0,470000
1836 Hidden Pine Ln,Train,32712,550243.0,535000
442 Tanglewilde St,Train,32712,327824.0,343000
2311 Wekiva Ridge Rd,Train,32712,390999.0,419000
4120 Jespersen St,Train,32712,417241.0,405450
2155 Palm View Dr,Train,32712,621303.0,662500
5490 Hayloft Dr,Train,32712,498971.0,491500
3736 Kings Canyon Dr,Train,32712,585516.0,585880
2092 Majestic Woods Blvd,Train,32712,476870.0,485000
2332 Pond Cove Way,Train,32712,611049.0,650000
388 Winnway St,Train,32712,362455.0,345000
1135 Mount Rainier Ct,Train,32712,368508.0,350000
5523 Hayloft Dr,Train,32712,441928.0,442990
2918 Sand Oak Loop,Train,32712,577204.0,555000
209 Wekiva Pointe Cir,Train,32712,529103.0,554000
2926 Falconhill Dr,Train,32712,733538.0,750000
550 Sundown Ct,Train,32712,287152.0,280000
5466 Hayloft Dr,Train,32712,441202.0,443990
900 Khingan Ct,Train,32712,399356.0,404000
5839 Galloping Dr,Train,32712,445091.0,433990
4635 Laurel Site Loop,Train,32712,538822.0,536990
3228 Country Side Dr,Train,32712,620263.0,624000
1656 Imperial Palm Dr,Train,32712,559438.0,505000
5317 Montford Pl,Train,32712,331792.0,360000
3518 Kilmarnock Dr,Train,32712,631696.0,650000
2313 Park Village Pl,Train,32712,470836.0,400000
1426 Madison Ivy Cir,Train,32712,396813.0,395000
4113 Jespersen St,Train,32712,470676.0,465000
2484 Cedar Rose St,Train,32712,439536.0,449995
1744 E Welch Rd,Train,32712,228243.0,210500
2720 Wekiva Meadows Ct,Train,32712,365758.0,389000
3384 Harry St,Train,32712,294844.0,300000
1131 Orange Grove Ln,Train,32712,299815.0,255000
5554 Hayloft Dr,Train,32712,408030.0,404990
