ADDRESS,Data Split,ZIPCODE,PredictedPrice,PRICE
2108 Kilmer Ln,Train,32703,336922.0,285000
1065 Cavan Dr,Train,32703,709593.0,699000
4702 Kati Lynn Dr,Train,32712,324220.0,330000
2948 Ashwood Ct,Train,32703,373440.0,382000
5466 Hayloft Dr,Train,32712,440456.0,443990
331 Adrienne Dr,Train,32703,267284.0,289000
1907 Rider Rain Ln,Train,32703,523599.0,529990
1615 Chatham Cir,Train,32703,300662.0,300000
601 Dominish Estates Dr,Train,32712,416191.0,419900
3421 Fudge Rd,Train,32712,215412.0,171000
1131 Orange Grove Ln,Train,32712,326445.0,255000
11501 Amber Rdg,Train,32832,384788.0,375000
2313 Park Village Pl,Train,32712,456105.0,400000
3384 Harry St,Train,32712,269322.0,300000
3922 Old Dunn Rd,Train,32712,469766.0,435000
3193 Country Side Dr,Train,32712,343893.0,340000
1360 Cherrybark Rd,Train,32703,309281.0,300000
1706 Pinecliff Dr,Train,32703,565687.0,618218
1641 Lake Marion Dr,Train,32712,423803.0,387000
1163 Whispering Winds Ct,Train,32703,325577.0,340000
8100 Stone Rd,Train,32703,462466.0,485000
2856 Park Meadow Dr,Train,32703,580501.0,545000
1761 Country Terrace Ln,Train,32703,368417.0,370000
249 S McGee Ave,Train,32703,178258.0,106500
1027 Royal Oaks Dr,Train,32703,340334.0,349000
1155 Seburn Rd,Train,32703,407466.0,405000
808 E Orange St,Train,32703,396035.0,399900
1917 Stake Out Way,Train,32703,414281.0,412297
3397 Orange Rose Loop,Train,32712,530479.0,540990
2349 Walnut Hts,Train,32703,440441.0,450000
300 S Aurora Dr,Train,32703,325418.0,309000
1426 Madison Ivy Cir,Train,32712,395831.0,395000
1261 Ashworth Dr,Train,32703,333267.0,335000
5808 Galloping Dr,Train,32712,445515.0,448990
1277 Waterview Ridge Cir,Train,32703,549444.0,537000
2284 Cobblefield Cir,Train,32703,370638.0,368000
1243 Osprey Way,Train,32712,581209.0,549000
1809 Silver Valley Ct,Train,32712,566907.0,579000
1638 Frances Dr,Train,32703,440140.0,479000
548 Hebrides Ct,Train,32712,543745.0,554900
1801 Jainic Loop,Train,32712,603553.0,610000
2509 Dowman Dr,Train,32712,620444.0,640000
2204 Votaw Rd,Train,32703,429155.0,435000
2229 Beardsley Dr,Train,32703,423806.0,420000
5836 Galloping Dr,Train,32712,438745.0,438990
4800 Pierce Arrow Dr,Train,32712,398213.0,397500
1468 Deer Lake Cir,Train,32712,539278.0,560000
1801 Rider Rain Ln,Train,32703,502824.0,491400
3975 Great Smokey Way,Train,32712,479426.0,470000
1525 Oakwood Ct,Train,32703,323124.0,329500
3141 Oak Alley Dr,Train,32703,1214939.0,1300000
1223 Honey Rd,Train,32712,371802.0,367000
1071 Sweet Tree Ct,Train,32712,389353.0,384000
2918 Sand Oak Loop,Train,32712,582732.0,555000
3440 Meadow Breeze Loop,Train,34761,533472.0,475000
70 Jett Loop,Train,32712,369650.0,365000
3652 Chandler Estates Dr,Train,32712,752828.0,800000
3669 Rory Oak Cir,Train,32703,419017.0,433990
