ADDRESS,Data Split,ZIPCODE,PredictedPrice,PRICE
3652 Chandler Estates Dr,CrossVal,32712,666999.2,800000
493 Hebrides Ct,CrossVal,32712,609632.5,750000
2926 Falconhill Dr,CrossVal,32712,697278.485,750000
4113 Golden Willow Cir,CrossVal,32712,633105.085,709000
2221 White Jasmine Ct,CrossVal,32712,679054.4,685000
4196 Winding Pines Dr,CrossVal,32712,580689.665,667830
2155 Palm View Dr,CrossVal,32712,567057.5,662500
3050 Rolling Hills Ln,CrossVal,32712,636251.7,660000
5221 Blanket Flower St,CrossVal,32712,590712.46,660000
933 Southern Oak Ln,CrossVal,32712,647056.5,660000
607 Golden Dawn Ln,CrossVal,32712,568096.7,655000
5306 Marshelder St,CrossVal,32712,626716.235,650000
2332 Pond Cove Way,CrossVal,32712,560027.28,650000
842 Palm Oak Dr,CrossVal,32712,547516.525,650000
3518 Kilmarnock Dr,CrossVal,32712,592301.8,650000
1141 Sweet Heather Ln,CrossVal,32712,561384.6,645000
2509 Dowman Dr,CrossVal,32712,487392.55,640000
3443 Players Point Loop,CrossVal,32712,617953.5,625000
3228 Country Side Dr,CrossVal,32712,620527.56,624000
3415 Orange Rose Loop,CrossVal,32712,646686.0,620380
484 Lanarkshire Pl,CrossVal,32712,590056.85,620000
2695 Hilltop Loop,CrossVal,32712,587025.285,619500
1801 Jainic Loop,CrossVal,32712,600568.385,610000
3811 Lorne Ct,CrossVal,32712,637965.4,609900
822 Swaying Palm Dr,CrossVal,32712,516708.8,600000
907 Ridge Spring Ct,CrossVal,32712,523725.85,593000
3736 Kings Canyon Dr,CrossVal,32712,626878.585,585880
1172 Degraw Dr,CrossVal,32712,616241.9,585000
1809 Silver Valley Ct,CrossVal,32712,539928.225,579000
1226 Deer Lake Cir,CrossVal,32712,534759.3,578000
485 Halter Dr,CrossVal,32712,417438.935,575450
1468 Deer Lake Cir,CrossVal,32712,556985.53,560000
225 Sutherland Ct,CrossVal,32712,536473.32,560000
2778 Golden Barrel Ave,CrossVal,32712,474643.69,558847
2639 Arbor Dune Ave,CrossVal,32712,453928.225,558474
2918 Sand Oak Loop,CrossVal,32712,610017.235,555000
548 Hebrides Ct,CrossVal,32712,570544.335,554900
209 Wekiva Pointe Cir,CrossVal,32712,486435.275,554000
1161 Spinning Wheel Dr,CrossVal,32712,610948.735,551000
896 Rock Creek St,CrossVal,32712,649710.9,550000
1243 Osprey Way,CrossVal,32712,631240.95,549000
1020 Southern Oak Ln,CrossVal,32712,583745.45,545000
3397 Orange Rose Loop,CrossVal,32712,512573.89,540990
4635 Laurel Site Loop,CrossVal,32712,522547.755,536990
1836 Hidden Pine Ln,CrossVal,32712,506372.89,535000
110 Wekiva Pointe Cir,CrossVal,32712,588429.925,522000
1536 Errol Pkwy,CrossVal,32712,555214.645,512000
464 Whispering Oak Ln,CrossVal,32712,478632.25,510000
2747 Spicebush Loop,CrossVal,32712,520735.135,510000
1656 Imperial Palm Dr,CrossVal,32712,615025.7,505000
445 Songbird Way,CrossVal,32712,461199.4,501003
550 Summit River Dr,CrossVal,32712,532870.845,500000
3222 Country Side Dr,CrossVal,32712,496823.235,499999
1539 Solway Ct,CrossVal,32712,494328.29,498500
5490 Hayloft Dr,CrossVal,32712,516936.23,491500
218 Wekiva Pointe Cir,CrossVal,32712,413823.755,490000
1701 Queen Palm Dr,CrossVal,32712,433853.255,490000
2092 Majestic Woods Blvd,CrossVal,32712,455695.155,485000
1463 Cedar Glen Dr,CrossVal,32712,464539.89,482000
5482 Hayloft Dr,CrossVal,32712,478975.805,478990
6133 Elm Samaras Ln,CrossVal,32712,472332.945,475000
2814 Breezy Meadow Rd,CrossVal,32712,535146.235,475000
3975 Great Smokey Way,CrossVal,32712,479779.325,470000
3308 Orange Rose Loop,CrossVal,32712,470887.42,468190
6085 Elm Samaras Ln,CrossVal,32712,482162.56,466000
4113 Jespersen St,CrossVal,32712,475735.025,465000
4023 W Ponkan Rd,CrossVal,32712,386886.305,465000
1575 Belfast Ct,CrossVal,32712,423661.285,461000
560 Summit River Dr,CrossVal,32712,500305.145,459000
4117 Jespersen St,CrossVal,32712,435907.37,451990
2484 Cedar Rose St,CrossVal,32712,425498.72,449995
3446 Orange Rose Loop,CrossVal,32712,473577.32,449190
5808 Galloping Dr,CrossVal,32712,441658.9,448990
5506 Hayloft Dr,CrossVal,32712,438705.6,448990
5466 Hayloft Dr,CrossVal,32712,442687.65,443990
5824 Galloping Dr,CrossVal,32712,437438.755,443990
5505 Hayloft Dr,CrossVal,32712,441476.19,443320
5523 Hayloft Dr,CrossVal,32712,435302.95,442990
5816 Galloping Dr,CrossVal,32712,442305.15,438990
5836 Galloping Dr,CrossVal,32712,430401.955,438990
3773 Isle Royal Pl,CrossVal,32712,444504.55,437635
5513 Hayloft Dr,CrossVal,32712,441956.685,436440
3922 Old Dunn Rd,CrossVal,32712,552453.105,435000
2073 Home Again Rd,CrossVal,32712,481579.615,435000
5839 Galloping Dr,CrossVal,32712,479253.66,433990
1556 Silver Fox Cir,CrossVal,32712,459168.255,429120
2655 Sheila Dr,CrossVal,32712,491971.48,426000
390 Lisa Karen Cir,CrossVal,32712,379275.0,420000
601 Dominish Estates Dr,CrossVal,32712,414090.825,419900
1270 Stoneywood Way,CrossVal,32712,363274.55,419000
2311 Wekiva Ridge Rd,CrossVal,32712,347848.02,419000
5121 Blanket Flower St,CrossVal,32712,399624.485,417000
5530 Galloping Dr,CrossVal,32712,433659.8,415000
2603 Long Pine Ave,CrossVal,32712,414052.125,414901
581 Mary Paula Dr,CrossVal,32712,389754.25,408000
5891 Galloping Dr,CrossVal,32712,398184.9,405990
4120 Jespersen St,CrossVal,32712,444553.9,405450
5554 Hayloft Dr,CrossVal,32712,404229.35,404990
900 Khingan Ct,CrossVal,32712,389344.7,404000
5620 Paddock Fence Ln,CrossVal,32712,394810.0,400490
2313 Park Village Pl,CrossVal,32712,551791.015,400000
1008 Magnolia Blossom Ct,CrossVal,32712,331184.4,400000
2833 Hilltop Loop,CrossVal,32712,448109.065,400000
4154 Jespersen St,CrossVal,32712,415255.015,399990
5847 Galloping Dr,CrossVal,32712,398109.3,397990
4800 Pierce Arrow Dr,CrossVal,32712,400902.49,397500
5536 Hayloft Dr,CrossVal,32712,409186.05,396990
5863 Galloping Dr,CrossVal,32712,399479.655,395990
5831 Galloping Dr,CrossVal,32712,406661.3,395990
1426 Madison Ivy Cir,CrossVal,32712,389311.235,395000
1200 Pat Patterson Ct,CrossVal,32712,396933.995,392000
5638 Paddock Fence Ln,CrossVal,32712,401335.15,389990
2720 Wekiva Meadows Ct,CrossVal,32712,334615.575,389000
1641 Lake Marion Dr,CrossVal,32712,499608.08,387000
1373 Welch Ridge Ter,CrossVal,32712,388839.955,385000
281 Edisto Pl,CrossVal,32712,322032.35,385000
12 Pine Forest Pl,CrossVal,32712,382247.5,385000
1071 Sweet Tree Ct,CrossVal,32712,400217.63,384000
763 Via Milano,CrossVal,32712,387396.115,383000
1155 Orange Grove Ln,CrossVal,32712,316612.53,380000
1840 Cranberry Isles Way,CrossVal,32712,415387.915,380000
1223 Honey Rd,CrossVal,32712,381454.7,367000
70 Jett Loop,CrossVal,32712,379624.55,365000
5317 Montford Pl,CrossVal,32712,275209.5,360000
644 Maya Susan Loop,CrossVal,32712,404471.625,355000
2104 Cranberry Isles Way,CrossVal,32712,384343.75,350000
1135 Mount Rainier Ct,CrossVal,32712,409034.05,350000
324 Morning Creek Cir,CrossVal,32712,311457.015,349900
388 Winnway St,CrossVal,32712,393853.125,345000
442 Tanglewilde St,CrossVal,32712,283603.5,343000
3193 Country Side Dr,CrossVal,32712,408306.565,340000
214 Sharp St,CrossVal,32712,278389.5,334900
908 Hilly Bend Dr,CrossVal,32712,426335.555,333000
4702 Kati Lynn Dr,CrossVal,32712,308302.0,330000
191 Caldwell St,CrossVal,32712,459759.54,321000
438 W Kelly Park Rd,CrossVal,32712,450834.66,310000
860 Stonechapel Ct,CrossVal,32712,308070.0,307000
750 N Lake Ave,CrossVal,32712,326316.0,305000
6331 Lake Lerla Dr,CrossVal,32712,349409.03,300000
3384 Harry St,CrossVal,32712,257886.0,300000
550 Sundown Ct,CrossVal,32712,303939.5,280000
6340 Oren Ct,CrossVal,32712,324339.75,280000
282 W Summit St,CrossVal,32712,367455.515,270000
359 Prevo Dr,CrossVal,32712,308327.0,265000
1135 Linkside Ct,CrossVal,32712,317222.53,258000
1131 Orange Grove Ln,CrossVal,32712,380490.65,255000
3480 Plymouth Sorrento Rd,CrossVal,32712,298871.5,250000
