ADDRESS,ZIPCODE,PRICE,PredictedPrice_CV,PredictedPrice_FT,Residual_CV,Residual_FT
1008 Magnolia Blossom Ct,32712,400000,350036.95,389816.85,49963.0,10183.0
1011 Piedmont Oaks Dr,32703,370000,348283.45,362427.04,21717.0,7573.0
1018 Bear Lake Rd,32703,340000,380639.66,379616.16,-40640.0,-39616.0
1020 Lakeside Estates Dr,32703,516000,535884.56,518451.21,-19885.0,-2451.0
1020 Southern Oak Ln,32712,545000,601518.97,564225.2,-56519.0,-19225.0
1027 Royal Oaks Dr,32703,349000,323747.4,337982.5,25253.0,11018.0
103 N Atlas Dr,32703,305000,293234.0,307274.89,11766.0,-2275.0
1065 Cavan Dr,32703,699000,829821.46,734516.34,-130821.0,-35516.0
1071 Piedmont Lakes Blvd,32703,371478,362044.5,373080.9,9434.0,-1603.0
1071 Sweet Tree Ct,32712,384000,402833.74,393812.14,-18834.0,-9812.0
1092 Lakeside Estates Dr,32703,525000,560700.32,538341.04,-35700.0,-13341.0
110 Wekiva Pointe Cir,32712,522000,553361.36,543556.45,-31361.0,-21556.0
1131 Orange Grove Ln,32712,255000,412719.12,296979.58,-157719.0,-41980.0
1135 Linkside Ct,32712,258000,348749.5,304827.95,-90750.0,-46828.0
1135 Mount Rainier Ct,32712,350000,400547.68,367759.25,-50548.0,-17759.0
1141 Sweet Heather Ln,32712,645000,516047.85,606789.2,128952.0,38211.0
1155 Orange Grove Ln,32712,380000,319939.78,365375.48,60060.0,14625.0
1155 Seburn Rd,32703,405000,439364.0,419216.34,-34364.0,-14216.0
116 Edgewood Dr,32703,335000,336335.5,333700.89,-1336.0,1299.0
1161 Spinning Wheel Dr,32712,551000,584236.06,560372.4,-33236.0,-9372.0
1163 Saddleback Ridge Rd,32703,330000,296880.0,319619.89,33120.0,10380.0
1163 Whispering Winds Ct,32703,340000,308596.39,333539.0,31404.0,6461.0
1172 Degraw Dr,32712,585000,618716.04,596314.1,-33716.0,-11314.0
1174 Whispering Winds Ct,32703,251500,342337.89,285096.5,-90838.0,-33596.0
12 Pine Forest Pl,32712,385000,376569.53,381389.5,8430.0,3610.0
1200 Pat Patterson Ct,32712,392000,402760.06,397661.5,-10760.0,-5662.0
1209 Highland Acres Dr,32703,266000,653002.6,365746.17,-387003.0,-99746.0
1215 Marie Ave,32703,200000,308214.89,235552.28,-108215.0,-35552.0
1216 Windward Dr,32703,335000,350421.89,330074.5,-15422.0,4926.0
1223 Honey Rd,32712,367000,396883.29,376947.86,-29883.0,-9948.0
1226 Deer Lake Cir,32712,578000,521277.66,559547.72,56722.0,18452.0
1229 Hillcrest View Loop,32703,592000,577993.67,587327.95,14006.0,4672.0
1238 Admiral Dr,32703,280000,221245.0,266292.5,58755.0,13708.0
1243 Osprey Way,32712,549000,588243.83,565891.15,-39244.0,-16891.0
1261 Ashworth Dr,32703,335000,370576.0,341074.6,-35576.0,-6075.0
1270 Stoneywood Way,32712,419000,392400.0,414862.25,26600.0,4138.0
1277 Waterview Ridge Cir,32703,537000,574937.96,548824.14,-37938.0,-11824.0
1312 Surf Ave,32703,352000,288215.0,322877.0,63785.0,29123.0
1321 Peach St,32703,300000,398752.95,328701.34,-98753.0,-28701.0
1322 Palm Dr,32703,1355000,524850.66,1058210.0,830149.0,296790.0
1360 Cherrybark Rd,32703,300000,331702.5,308207.0,-31702.0,-8207.0
1373 Welch Ridge Ter,32712,385000,379418.78,383175.75,5581.0,1824.0
1414 Rolling Green Dr,32703,269000,285332.5,267235.0,-16332.0,1765.0
1420 Bethesda St,32703,225000,329681.47,260978.5,-104681.0,-35978.0
1421 Stoneway Pl,32703,720501,787984.79,733656.56,-67484.0,-13156.0
1426 Madison Ivy Cir,32712,395000,392515.03,394661.55,2485.0,338.0
1433 Stoneway Pl,32703,645000,534307.56,602546.62,110692.0,42453.0
1440 Eden Dr,32703,304000,292665.5,301507.5,11334.0,2492.0
1440 Waterview Ridge Cir,32703,540000,601434.96,559963.02,-61435.0,-19963.0
1461 Pinecliff Dr,32703,758114,633523.2,740484.72,124591.0,17629.0
1463 Cedar Glen Dr,32712,482000,481004.11,485622.16,996.0,-3622.0
1468 Deer Lake Cir,32712,560000,533497.18,559510.05,26503.0,490.0
15 E Nightingale St,32712,222000,293262.5,252899.5,-71262.0,-30900.0
1511 Dunn Cove Dr,32703,389000,396900.91,391725.24,-7901.0,-2725.0
1525 Oakwood Ct,32703,329500,310502.88,322395.0,18997.0,7105.0
