ADDRESS,Data Split,ZIPCODE,PredictedPrice,PRICE
1141 Sweet Heather Ln,Train,32712,621574.0,645000
2104 Cranberry Isles Way,Train,32712,357889.0,350000
5306 Marshelder St,Train,32712,639441.0,650000
324 Morning Creek Cir,Train,32712,336568.0,349900
550 Summit River Dr,Train,32712,497223.0,500000
4023 W Ponkan Rd,Train,32712,435611.0,465000
1172 Degraw Dr,Train,32712,594085.0,585000
4800 Pierce Arrow Dr,Train,32712,386787.0,397500
2221 White Jasmine Ct,Train,32712,693800.0,685000
225 Sutherland Ct,Train,32712,571123.0,560000
3397 Orange Rose Loop,Train,32712,525563.0,540990
1135 Linkside Ct,Train,32712,291189.0,258000
1744 E Welch Rd,Train,32712,216752.0,210500
2509 Dowman Dr,Train,32712,596571.0,640000
607 Golden Dawn Ln,Train,32712,611070.0,655000
1426 Madison Ivy Cir,Train,32712,396905.0,395000
1135 Mount Rainier Ct,Train,32712,373969.0,350000
5824 Galloping Dr,Train,32712,441370.0,443990
1641 Lake Marion Dr,Train,32712,423850.0,387000
4113 Jespersen St,Train,32712,482542.0,465000
3384 Harry St,Train,32712,278812.0,300000
5831 Galloping Dr,Train,32712,399967.0,395990
2720 Wekiva Meadows Ct,Train,32712,372610.0,389000
3652 Chandler Estates Dr,Train,32712,739789.0,800000
6133 Elm Samaras Ln,Train,32712,485038.0,475000
4117 Jespersen St,Train,32712,445767.0,451990
1809 Silver Valley Ct,Train,32712,582679.0,579000
1243 Osprey Way,Train,32712,577681.0,549000
1836 Hidden Pine Ln,Train,32712,531634.0,535000
560 Summit River Dr,Train,32712,475550.0,459000
191 Caldwell St,Train,32712,402552.0,321000
2603 Long Pine Ave,Train,32712,419840.0,414901
822 Swaying Palm Dr,Train,32712,570786.0,600000
907 Ridge Spring Ct,Train,32712,579449.0,593000
3811 Lorne Ct,Train,32712,621098.0,609900
5554 Hayloft Dr,Train,32712,406175.0,404990
896 Rock Creek St,Train,32712,584159.0,550000
15 E Nightingale St,Train,32712,249125.0,222000
1840 Cranberry Isles Way,Train,32712,381054.0,380000
464 Whispering Oak Ln,Train,32712,499035.0,510000
1200 Pat Patterson Ct,Train,32712,392806.0,392000
550 Sundown Ct,Train,32712,292528.0,280000
5506 Hayloft Dr,Train,32712,442553.0,448990
2778 Golden Barrel Ave,Train,32712,536355.0,558847
581 Mary Paula Dr,Train,32712,406757.0,408000
5847 Galloping Dr,Train,32712,398040.0,397990
3975 Great Smokey Way,Train,32712,471271.0,470000
2655 Sheila Dr,Train,32712,434776.0,426000
5891 Galloping Dr,Train,32712,405912.0,405990
1539 Solway Ct,Train,32712,502465.0,498500
4196 Winding Pines Dr,Train,32712,632286.0,667830
4120 Jespersen St,Train,32712,419666.0,405450
6331 Lake Lerla Dr,Train,32712,321680.0,300000
1656 Imperial Palm Dr,Train,32712,544774.0,505000
2918 Sand Oak Loop,Train,32712,582181.0,555000
3773 Isle Royal Pl,Train,32712,434586.0,437635
5523 Hayloft Dr,Train,32712,440956.0,442990
2639 Arbor Dune Ave,Train,32712,526964.0,558474
1071 Sweet Tree Ct,Train,32712,404007.0,384000
3050 Rolling Hills Ln,Train,32712,639810.0,660000
4635 Laurel Site Loop,Train,32712,534864.0,536990
2484 Cedar Rose St,Train,32712,439809.0,449995
1008 Magnolia Blossom Ct,Train,32712,390857.0,400000
5317 Montford Pl,Train,32712,338722.0,360000
2073 Home Again Rd,Train,32712,451620.0,435000
438 W Kelly Park Rd,Train,32712,359810.0,310000
860 Stonechapel Ct,Train,32712,313484.0,307000
1270 Stoneywood Way,Train,32712,407344.0,419000
5221 Blanket Flower St,Train,32712,637545.0,660000
842 Palm Oak Dr,Train,32712,604662.0,650000
70 Jett Loop,Train,32712,370618.0,365000
388 Winnway St,Train,32712,356217.0,345000
4113 Golden Willow Cir,Train,32712,685950.0,709000
3443 Players Point Loop,Train,32712,614661.0,625000
1161 Spinning Wheel Dr,Train,32712,555029.0,551000
5808 Galloping Dr,Train,32712,446720.0,448990
214 Sharp St,Train,32712,322782.0,334900
2155 Palm View Dr,Train,32712,639303.0,662500
281 Edisto Pl,Train,32712,380473.0,385000
2313 Park Village Pl,Train,32712,463722.0,400000
2926 Falconhill Dr,Train,32712,730283.0,750000
3308 Orange Rose Loop,Train,32712,477845.0,468190
5490 Hayloft Dr,Train,32712,495480.0,491500
5863 Galloping Dr,Train,32712,397230.0,395990
445 Songbird Way,Train,32712,467841.0,501003
763 Via Milano,Train,32712,385810.0,383000
1536 Errol Pkwy,Train,32712,542580.0,512000
1155 Orange Grove Ln,Train,32712,359576.0,380000
2814 Breezy Meadow Rd,Train,32712,500831.0,475000
2856 Rock Springs Rd,Train,32712,221718.0,220000
5836 Galloping Dr,Train,32712,437437.0,438990
5482 Hayloft Dr,Train,32712,485651.0,478990
5121 Blanket Flower St,Train,32712,410272.0,417000
1020 Southern Oak Ln,Train,32712,553659.0,545000
1463 Cedar Glen Dr,Train,32712,479083.0,482000
2311 Wekiva Ridge Rd,Train,32712,390734.0,419000
2747 Spicebush Loop,Train,32712,514602.0,510000
601 Dominish Estates Dr,Train,32712,416887.0,419900
2695 Hilltop Loop,Train,32712,612362.0,619500
2092 Majestic Woods Blvd,Train,32712,460743.0,485000
1131 Orange Grove Ln,Train,32712,302631.0,255000
442 Tanglewilde St,Train,32712,318704.0,343000
209 Wekiva Pointe Cir,Train,32712,539911.0,554000
6340 Oren Ct,Train,32712,304088.0,280000
493 Hebrides Ct,Train,32712,703158.0,750000
3222 Country Side Dr,Train,32712,500042.0,499999
3193 Country Side Dr,Train,32712,350988.0,340000
4154 Jespersen St,Train,32712,407178.0,399990
5620 Paddock Fence Ln,Train,32712,399730.0,400490
12 Pine Forest Pl,Train,32712,384477.0,385000
390 Lisa Karen Cir,Train,32712,407546.0,420000
5466 Hayloft Dr,Train,32712,443165.0,443990
1223 Honey Rd,Train,32712,370308.0,367000
3421 Fudge Rd,Train,32712,212880.0,171000
484 Lanarkshire Pl,Train,32712,615057.0,620000
3446 Orange Rose Loop,Train,32712,462424.0,449190
5536 Hayloft Dr,Train,32712,401752.0,396990
3518 Kilmarnock Dr,Train,32712,635611.0,650000
5530 Galloping Dr,Train,32712,417341.0,415000
2833 Hilltop Loop,Train,32712,412968.0,400000
5505 Hayloft Dr,Test,32712,440717.0,443320
3228 Country Side Dr,Test,32712,616504.0,624000
3922 Old Dunn Rd,Test,32712,551293.0,435000
5513 Hayloft Dr,Test,32712,441651.0,436440
359 Prevo Dr,Test,32712,308678.0,265000
1468 Deer Lake Cir,Test,32712,569038.0,560000
5816 Galloping Dr,Test,32712,443085.0,438990
6085 Elm Samaras Ln,Test,32712,488500.0,466000
218 Wekiva Pointe Cir,Test,32712,418831.0,490000
1556 Silver Fox Cir,Test,32712,449022.0,429120
